t,alpha_0,alpha_1,pos_prev_0,pos_prev_1,pos_new_0,pos_new_1
85,1.1624337,-0.5615736,-39.36929,38.031715,-48.378498,46.9311
86,2.567391,-1.760617,-48.378498,46.9311,-67.63073,64.18035
87,2.0480993,-1.0523527,-67.63073,64.18035,-82.932655,80.2707
88,2.6679776,-1.607823,-82.932655,80.2707,-102.50924,99.18154
89,1.7496111,-0.91413355,-102.50924,99.18154,-115.579124,113.56549
90,3.2325044,-1.7167919,-115.579124,113.56549,-138.16919,134.5615
91,2.429769,-0.026932955,-138.16919,134.5615,-153.07913,151.07039
92,2.1626887,-0.21086565,-153.07913,151.07039,-166.39655,164.89224
93,2.2179482,-0.040051162,-166.39655,164.89224,-179.47214,178.16948
94,4.3150764,-1.1341335,-179.47214,178.16948,-206.35358,202.54643
95,5.017452,-1.0669826,-206.35358,202.54643,-237.4424,232.82632
96,5.724802,-1.855613,-237.4424,232.82632,-274.07407,268.47675
97,6.5082064,-0.79869777,-274.07407,268.47675,-312.938,307.2393
98,6.1850715,-0.35580587,-312.938,307.2393,-348.873,343.99445
99,5.4995594,-0.04412006,-348.873,343.99445,-379.92136,376.26114
100,4.4846997,0.4518962,-379.92136,376.26114,-403.80634,401.8029
101,4.8217587,-0.5656196,-403.80634,401.8029,-431.09338,428.64822
102,3.7396784,0.36722302,-431.09338,428.64822,-450.1946,449.47015
103,2.2028325,1.3662269,-450.1946,449.47015,-457.3932,459.21848
104,3.252824,0.2954359,-457.3932,459.21848,-472.61523,473.14612
105,1.5339572,1.7215947,-472.61523,473.14612,-474.06223,477.2244
106,0.18534946,0.9130373,-474.06223,477.2244,-468.18573,472.78293
107,0.47178912,0.9719786,-468.18573,472.78293,-463.34656,467.87027
108,-0.56880856,3.2160082,-463.34656,467.87027,-447.67554,454.40485
109,-0.68821394,1.6036566,-447.67554,454.40485,-433.9893,440.24274
110,0.31176972,0.9598821,-433.9893,440.24274,-427.87946,432.56833
