t,alpha_0,alpha_1,pos_prev_0,pos_prev_1,pos_new_0,pos_new_1
86,-2.1578498,-1.3227767,56.701565,57.788265,78.22246,80.694046
87,-2.091626,-0.93093485,78.22246,80.694046,76.67237,78.34314
88,-2.6677737,-1.1193893,76.67237,78.34314,83.7863,85.8739
89,-2.6774404,-1.2200642,83.7863,85.8739,90.62419,92.89616
90,-3.572979,-4.1271286,90.62419,92.89616,178.04155,185.34431
91,-2.1566813,-2.4321315,178.04155,185.34431,170.94525,175.09047
92,-4.063241,-2.604114,170.94525,175.09047,177.71532,182.2878
93,-4.7539587,-1.9953222,177.71532,182.2878,166.54941,170.1229
94,-3.4479868,-1.4939036,166.54941,170.1229,136.64932,138.91513
95,-2.6323636,-0.48946482,136.64932,138.91513,87.621956,87.95706
96,-3.55926,-1.3676348,87.621956,87.95706,96.7838,99.19685
97,-2.8364582,-0.6651051,96.7838,99.19685,79.08392,80.194534
98,-1.6179651,-1.087451,79.08392,80.194534,75.43091,77.059814
99,-0.54530346,-0.39938286,75.43091,77.059814,47.791092,47.9666
